label,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20
A,0.0,0.0,-0.03723406791687012,-0.02509218454360962,-0.06845319271087646,-0.0705074667930603,-0.07813608646392822,-0.12418407201766968,-0.05901598930358887,-0.16176319122314453,-0.05352318286895752,-0.14557915925979614,-0.06702744960784912,-0.1845078468322754,-0.062088608741760254,-0.13528019189834595,-0.05438917875289917,-0.10150730609893799,-0.029242336750030518,-0.15339529514312744,-0.04387599229812622,-0.19731569290161133,-0.04075956344604492,-0.1313113570213318,-0.033646225929260254,-0.09298884868621826,-0.003068983554840088,-0.15171611309051514,-0.01857978105545044,-0.18650716543197632,-0.017363131046295166,-0.12068521976470947,-0.010890305042266846,-0.0837511420249939,0.02549266815185547,-0.1408388614654541,0.00733184814453125,-0.16710394620895386,0.005832791328430176,-0.12761753797531128,0.011807680130004883,-0.10413455963134766
A,0.0,0.0,-0.04466807842254639,-0.022197246551513672,-0.07502132654190063,-0.0838613510131836,-0.06792402267456055,-0.14279413223266602,-0.04065990447998047,-0.17088055610656738,-0.06847649812698364,-0.13758477568626404,-0.06827086210250854,-0.1938517689704895,-0.05554312467575073,-0.15148237347602844,-0.04818308353424072,-0.11563488841056824,-0.04123961925506592,-0.14957097172737122,-0.04162949323654175,-0.2074211835861206,-0.029092073440551758,-0.14597436785697937,-0.025025606155395508,-0.10940101742744446,-0.015191614627838135,-0.1526637077331543,-0.014215230941772461,-0.1999874711036682,-0.007180631160736084,-0.13953277468681335,-0.006937801837921143,-0.10575872659683228,0.010952353477478027,-0.1475558876991272,0.00928574800491333,-0.18610036373138428,0.010633707046508789,-0.14205452799797058,0.008954942226409912,-0.11507716774940491
A,0.0,0.0,0.044586360454559326,-0.032502174377441406,0.06024223566055298,-0.08403390645980835,0.04932451248168945,-0.12689295411109924,0.030437886714935303,-0.14306402206420898,0.05223935842514038,-0.15437108278274536,0.05175161361694336,-0.18458735942840576,0.04413914680480957,-0.17147424817085266,0.040214359760284424,-0.1519595980644226,0.019954562187194824,-0.16945356130599976,0.017601728439331055,-0.19818371534347534,0.01386803388595581,-0.17746266722679138,0.013935685157775879,-0.15263158082962036,-0.01117408275604248,-0.16173702478408813,-0.012138009071350098,-0.176906019449234,-0.012092530727386475,-0.15100014209747314,-0.01060938835144043,-0.12660351395606995,-0.03897368907928467,-0.1397523283958435,-0.0361638069152832,-0.14705327153205872,-0.033194661140441895,-0.12362879514694214,-0.03026038408279419,-0.10192757844924927
A,0.0,0.0,-0.04938948154449463,-0.03132599592208862,-0.07494539022445679,-0.07438403367996216,-0.07700800895690918,-0.12180203199386597,-0.07010805606842041,-0.1526697278022766,-0.05475771427154541,-0.12814486026763916,-0.06937772035598755,-0.1664164662361145,-0.07369530200958252,-0.14629554748535156,-0.0694078803062439,-0.11867576837539673,-0.03617316484451294,-0.14090889692306519,-0.050511956214904785,-0.194693922996521,-0.05519384145736694,-0.15083354711532593,-0.048531174659729004,-0.11094534397125244,-0.014037668704986572,-0.1469358205795288,-0.0281335711479187,-0.19785073399543762,-0.032203495502471924,-0.14424806833267212,-0.023918509483337402,-0.10265183448791504,0.01279217004776001,-0.1446874737739563,-0.004205107688903809,-0.1808803379535675,-0.010572671890258789,-0.14145922660827637,-0.0044637322425842285,-0.10941344499588013
A,0.0,0.0,-0.045324087142944336,-0.0249822735786438,-0.08145022392272949,-0.09471505880355835,-0.09848618507385254,-0.16600441932678223,-0.10533559322357178,-0.22713768482208252,-0.06718635559082031,-0.1818615198135376,-0.07547169923782349,-0.23184555768966675,-0.06690257787704468,-0.16207128763198853,-0.06013226509094238,-0.12762343883514404,-0.032243192195892334,-0.18635839223861694,-0.03947579860687256,-0.22854655981063843,-0.035773634910583496,-0.13993430137634277,-0.032559752464294434,-0.13487035036087036,0.0025930404663085938,-0.1818608045578003,-0.001772761344909668,-0.21563977003097534,-0.004442930221557617,-0.13470768928527832,-0.0039042234420776367,-0.13073134422302246,0.036593735218048096,-0.17214232683181763,0.03076118230819702,-0.19486528635025024,0.024608910083770752,-0.13908237218856812,0.024480581283569336,-0.13055932521820068
A,0.0,0.0,-0.053617656230926514,-0.0065361857414245605,-0.09617763757705688,-0.0666763186454773,-0.1198878288269043,-0.12818792462348938,-0.14423495531082153,-0.1545417308807373,-0.08407491445541382,-0.1354784369468689,-0.09945404529571533,-0.18649673461914062,-0.08614462614059448,-0.13170233368873596,-0.07527750730514526,-0.09964436292648315,-0.05561619997024536,-0.15578299760818481,-0.0716591477394104,-0.2091226875782013,-0.058406829833984375,-0.13865908980369568,-0.04840350151062012,-0.11271798610687256,-0.025056779384613037,-0.1650950312614441,-0.03953629732131958,-0.2156086564064026,-0.030536651611328125,-0.145455002784729,-0.022717177867889404,-0.11782646179199219,0.007401406764984131,-0.16728225350379944,-0.00696641206741333,-0.21138396859169006,-0.005655765533447266,-0.1603221595287323,-0.000630795955657959,-0.13452845811843872
A,0.0,0.0,-0.05153083801269531,-0.030437588691711426,-0.0906449556350708,-0.08277952671051025,-0.11316454410552979,-0.14167571067810059,-0.13314205408096313,-0.18317896127700806,-0.0759592056274414,-0.15957510471343994,-0.08527785539627075,-0.20851492881774902,-0.07465088367462158,-0.1549329161643982,-0.06599336862564087,-0.12141042947769165,-0.043491363525390625,-0.16944319009780884,-0.054471731185913086,-0.22449761629104614,-0.04494822025299072,-0.14938539266586304,-0.03887242078781128,-0.12660324573516846,-0.011790692806243896,-0.1712062954902649,-0.019730567932128906,-0.2189592719078064,-0.015649259090423584,-0.14499801397323608,-0.01192086935043335,-0.12096375226974487,0.021436333656311035,-0.16661137342453003,0.012244105339050293,-0.20862087607383728,0.010696172714233398,-0.15542817115783691,0.01328134536743164,-0.1326158046722412
A,0.0,0.0,-0.05822235345840454,-0.030995428562164307,-0.09850043058395386,-0.09994339942932129,-0.11991089582443237,-0.16644179821014404,-0.1434827446937561,-0.20240497589111328,-0.08024328947067261,-0.16776257753372192,-0.09224104881286621,-0.2103472352027893,-0.08017098903656006,-0.14528554677963257,-0.0707845687866211,-0.11346566677093506,-0.04694867134094238,-0.1760585904121399,-0.06320661306381226,-0.22388097643852234,-0.053904056549072266,-0.1466597318649292,-0.046560049057006836,-0.12905889749526978,-0.013446271419525146,-0.1781424880027771,-0.027389824390411377,-0.21813377737998962,-0.022805631160736084,-0.144112229347229,-0.01754605770111084,-0.13019609451293945,0.01893407106399536,-0.17712604999542236,0.008617520332336426,-0.21109449863433838,0.007416188716888428,-0.15748459100723267,0.012349307537078857,-0.14200502634048462
A,0.0,0.0,-0.03356379270553589,-0.05102849006652832,-0.041801631450653076,-0.09605562686920166,-0.050154685974121094,-0.132857084274292,-0.05760115385055542,-0.16841614246368408,-0.0013905763626098633,-0.1366845965385437,-0.012398779392242432,-0.18208271265029907,-0.024495244026184082,-0.15123194456100464,-0.020113766193389893,-0.12223052978515625,0.009472310543060303,-0.1425953507423401,-0.006215810775756836,-0.1964091658592224,-0.020956337451934814,-0.1501903533935547,-0.011842191219329834,-0.11672258377075195,0.024261295795440674,-0.14488589763641357,0.004501461982727051,-0.1962621808052063,-0.00969994068145752,-0.14886027574539185,0.0014580488204956055,-0.11937940120697021,0.04313063621520996,-0.14218586683273315,0.01944553852081299,-0.18145740032196045,0.006215453147888184,-0.14795750379562378,0.015319347381591797,-0.11750215291976929
A,0.0,0.0,-0.056614458560943604,-0.04380077123641968,-0.09050256013870239,-0.10331487655639648,-0.10666787624359131,-0.16591906547546387,-0.11192190647125244,-0.21899312734603882,-0.06958174705505371,-0.16641825437545776,-0.08145064115524292,-0.21677488088607788,-0.07452911138534546,-0.16150391101837158,-0.06511819362640381,-0.1271396279335022,-0.03899431228637695,-0.17338526248931885,-0.05121731758117676,-0.22870156168937683,-0.046033501625061035,-0.15318793058395386,-0.0370335578918457,-0.12439185380935669,-0.008582890033721924,-0.17129087448120117,-0.019188106060028076,-0.22215300798416138,-0.01910609006881714,-0.14700573682785034,-0.012141048908233643,-0.11645746231079102,0.024536848068237305,-0.16201794147491455,0.012051105499267578,-0.20426258444786072,0.005827903747558594,-0.149369478225708,0.010278820991516113,-0.12322860956192017
